Method	Dataset	Metric	Value	Set
Epitope1D	Mononegavirales	Sensitivity	0.391217564870259	Holdout
Epitope1D	Mononegavirales	Specificity	0.900621118012422	Holdout
Epitope1D	Mononegavirales	Balanced accuracy	0.645919341441341	Holdout
Epitope1D	Mononegavirales	Accuracy	0.7266530334015	Holdout
Epitope1D	M. tuberculosis	AUC	0.521556278214575	Holdout
Epitope1D	M. tuberculosis	F1	0.576354679802956	Holdout
Epitope1D	M. tuberculosis	MCC	-0.0115085162864272	Holdout
Epitope1D	M. tuberculosis	PPV	0.51456844420011	Holdout
Epitope1D	M. tuberculosis	NPV	0.473290598290598	Holdout
Epitope1D	M. tuberculosis	Sensitivity	0.655003498950315	Holdout
Epitope1D	M. tuberculosis	Specificity	0.334087481146305	Holdout
Epitope1D	M. tuberculosis	Balanced accuracy	0.49454549004831	Holdout
Epitope1D	M. tuberculosis	Accuracy	0.5005444646098	Holdout
Epitope1D	Orthopoxvirus	AUC	0.512709178498986	Holdout
Epitope1D	Orthopoxvirus	F1	0.32	Holdout
Epitope1D	Orthopoxvirus	MCC	0.102761657221085	Holdout
Epitope1D	Orthopoxvirus	PPV	0.194756554307116	Holdout
Epitope1D	Orthopoxvirus	NPV	0.904761904761905	Holdout
Epitope1D	Orthopoxvirus	Sensitivity	0.896551724137931	Holdout
Epitope1D	Orthopoxvirus	Specificity	0.209558823529412	Holdout
Epitope1D	Orthopoxvirus	Balanced accuracy	0.553055273833671	Holdout
Epitope1D	Orthopoxvirus	Accuracy	0.33030303030303	Holdout
Epitope1D	O. volvulus	AUC	0.701185909146267	Holdout
Epitope1D	O. volvulus	F1	0.267365661861075	Holdout
Epitope1D	O. volvulus	MCC	0.128642797530494	Holdout
Epitope1D	O. volvulus	PPV	0.251231527093596	Holdout
Epitope1D	O. volvulus	NPV	0.870886075949367	Holdout
Epitope1D	O. volvulus	Sensitivity	0.285714285714286	Holdout
Epitope1D	O. volvulus	Specificity	0.849802371541502	Holdout
Epitope1D	O. volvulus	Balanced accuracy	0.567758328627894	Holdout
Epitope1D	O. volvulus	Accuracy	0.76522469550609	Holdout
Epitope1D	P. aeruginosa	AUC	0.460905349794239	Holdout
Epitope1D	P. aeruginosa	F1	0.2	Holdout
Epitope1D	P. aeruginosa	MCC	-0.181649753637689	Holdout
Epitope1D	P. aeruginosa	PPV	0.526315789473684	Holdout
Epitope1D	P. aeruginosa	NPV	0.252631578947368	Holdout
Epitope1D	P. aeruginosa	Sensitivity	0.123456790123457	Holdout
Epitope1D	P. aeruginosa	Specificity	0.727272727272727	Holdout
Epitope1D	P. aeruginosa	Balanced accuracy	0.425364758698092	Holdout
Epitope1D	P. aeruginosa	Accuracy	0.298245614035088	Holdout
Epitope1D	P. falciparum	AUC	0.507809085696978	Holdout
Epitope1D	P. falciparum	F1	0.724569901453148	Holdout
Epitope1D	P. falciparum	MCC	-0.0343506590337016	Holdout
Epitope1D	P. falciparum	PPV	0.618477331052181	Holdout
Epitope1D	P. falciparum	NPV	0.329741379310345	Holdout
Epitope1D	P. falciparum	Sensitivity	0.874596774193548	Holdout
Epitope1D	P. falciparum	Specificity	0.10261569416499	Holdout
Epitope1D	P. falciparum	Balanced accuracy	0.488606234179269	Holdout
Epitope1D	P. falciparum	Accuracy	0.584739360362629	Holdout
Epitope1D	S. mansoni	AUC	0.581800470272086	Holdout
Epitope1D	S. mansoni	F1	0.261904761904762	Holdout
Epitope1D	S. mansoni	MCC	-0.0376555799373375	Holdout
Epitope1D	S. mansoni	PPV	0.257995735607676	Holdout
Epitope1D	S. mansoni	NPV	0.704686118479222	Holdout
Epitope1D	S. mansoni	Sensitivity	0.265934065934066	Holdout
Epitope1D	S. mansoni	Specificity	0.696069868995633	Holdout
Epitope1D	S. mansoni	Balanced accuracy	0.48100196746485	Holdout
Epitope1D	S. mansoni	Accuracy	0.57375	Holdout
Epitope1D	T. gondii	AUC	0.618811881188119	Holdout
Epitope1D	T. gondii	F1	0.736363636363636	Holdout
Epitope1D	T. gondii	MCC	-0.039324538161817	Holdout
Epitope1D	T. gondii	PPV	0.680672268907563	Holdout
Epitope1D	T. gondii	NPV	0.272727272727273	Holdout
Epitope1D	T. gondii	Sensitivity	0.801980198019802	Holdout
Epitope1D	T. gondii	Specificity	0.164835164835165	Holdout
Epitope1D	T. gondii	Balanced accuracy	0.483407681427483	Holdout
Epitope1D	T. gondii	Accuracy	0.604095563139932	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	AUC	0.554517133956386	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	F1	0.8359375	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	MCC	0	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	PPV	0.718120805369127	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	NPV	0	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	Sensitivity	1	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	Specificity	0	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	Balanced accuracy	0.5	Holdout
EpitopeTransfer(ESM-1b)	B. pertussis	Accuracy	0.718120805369127	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	AUC	0.706520406912612	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	F1	0.236111111111111	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	MCC	0.172511556860175	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	PPV	0.137651821862348	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	NPV	0.963541666666667	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	Sensitivity	0.829268292682927	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	Specificity	0.464824120603015	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	Balanced accuracy	0.647046206642971	Holdout
EpitopeTransfer(ESM-1b)	C. difficile	Accuracy	0.498861047835991	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	AUC	0.589506172839506	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	F1	0.557377049180328	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	MCC	0.0640802636795193	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	PPV	0.5	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	NPV	0.565217391304348	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	Sensitivity	0.62962962962963	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	Specificity	0.433333333333333	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	Balanced accuracy	0.531481481481481	Holdout
EpitopeTransfer(ESM-1b)	Corynebacterium	Accuracy	0.526315789473684	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	AUC	0.773421812248996	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	F1	0.716599190283401	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	MCC	0.447121288823959	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	PPV	0.743697478991597	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	NPV	0.704119850187266	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	Sensitivity	0.69140625	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	Specificity	0.755020080321285	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	Balanced accuracy	0.723213165160643	Holdout
EpitopeTransfer(ESM-1b)	C. trachomatis	Accuracy	0.722772277227723	Holdout
EpitopeTransfer(ESM-1b)	E. coli	AUC	0.853259554910498	Holdout
EpitopeTransfer(ESM-1b)	E. coli	F1	0.872370266479663	Holdout
EpitopeTransfer(ESM-1b)	E. coli	MCC	0.325406771440337	Holdout
EpitopeTransfer(ESM-1b)	E. coli	PPV	0.775561097256858	Holdout
EpitopeTransfer(ESM-1b)	E. coli	NPV	0.941176470588236	Holdout
EpitopeTransfer(ESM-1b)	E. coli	Sensitivity	0.996794871794872	Holdout
EpitopeTransfer(ESM-1b)	E. coli	Specificity	0.150943396226415	Holdout
EpitopeTransfer(ESM-1b)	E. coli	Balanced accuracy	0.573869134010643	Holdout
EpitopeTransfer(ESM-1b)	E. coli	Accuracy	0.782296650717703	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	AUC	0.825584116507884	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	F1	0.738377392889699	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	MCC	0.479421182379271	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	PPV	0.691126279863481	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	NPV	0.788844621513944	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	Sensitivity	0.792563600782779	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	Specificity	0.68630849220104	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	Balanced accuracy	0.739436046491909	Holdout
EpitopeTransfer(ESM-1b)	Enterobacteriaceae	Accuracy	0.736213235294118	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	AUC	0.971612338362069	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	F1	0.780141843971631	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	MCC	0.765919196345281	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	PPV	0.662650602409638	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	NPV	0.993839835728953	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	Sensitivity	0.948275862068966	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	Specificity	0.9453125	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	Balanced accuracy	0.946794181034483	Holdout
EpitopeTransfer(ESM-1b)	Filoviridae	Accuracy	0.945614035087719	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	AUC	0.593038481683458	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	F1	0.444015444015444	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	MCC	0.240911452563318	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	PPV	0.680473372781065	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	NPV	0.609022556390977	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	Sensitivity	0.329512893982808	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	Specificity	0.870967741935484	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	Balanced accuracy	0.600240317959146	Holdout
EpitopeTransfer(ESM-1b)	Human Gammaherpesvirus 4	Accuracy	0.624755700325733	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	AUC	0.755717925030094	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	F1	0.817950889077053	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	MCC	0.175976033435571	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	PPV	0.786644951140065	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	NPV	0.408450704225352	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	Sensitivity	0.851851851851852	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	Specificity	0.306878306878307	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	Balanced accuracy	0.579365079365079	Holdout
EpitopeTransfer(ESM-1b)	Influenza A	Accuracy	0.715608465608466	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	AUC	0.789048789048789	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	F1	0.925	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	MCC	0.769589628905795	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	PPV	0.86046511627907	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	NPV	1	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	Sensitivity	1	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	Specificity	0.688311688311688	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	Balanced accuracy	0.844155844155844	Holdout
EpitopeTransfer(ESM-1b)	Lentivirus	Accuracy	0.893333333333333	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	AUC	0.522334558823529	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	F1	0.592	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	MCC	-0.135950971827857	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	PPV	0.448484848484848	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	NPV	0.3125	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	Sensitivity	0.870588235294118	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	Specificity	0.0520833333333333	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	Balanced accuracy	0.461335784313726	Holdout
EpitopeTransfer(ESM-1b)	Measles morbilivirus	Accuracy	0.43646408839779	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	AUC	0.725381535066513	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	F1	0.565074135090609	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	MCC	0.286167160029344	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	PPV	0.481065918653576	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	NPV	0.790450928381963	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	Sensitivity	0.684630738522954	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	Specificity	0.616977225672878	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	Balanced accuracy	0.650803982097916	Holdout
EpitopeTransfer(ESM-1b)	Mononegavirales	Accuracy	0.640081799591002	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	AUC	0.522180072976599	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	F1	0.58593054318789	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	MCC	-0.0306635517105727	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	PPV	0.508762886597938	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	NPV	0.457668711656442	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	Sensitivity	0.690692792162351	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	Specificity	0.281297134238311	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	Balanced accuracy	0.485994963200331	Holdout
EpitopeTransfer(ESM-1b)	M. tuberculosis	Accuracy	0.493647912885662	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	AUC	0.688989604462475	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	F1	0.383561643835616	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	MCC	0.225648817632917	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	PPV	0.318181818181818	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	NPV	0.87603305785124	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	Sensitivity	0.482758620689655	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	Specificity	0.779411764705882	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	Balanced accuracy	0.631085192697769	Holdout
EpitopeTransfer(ESM-1b)	Orthopoxvirus	Accuracy	0.727272727272727	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	AUC	0.626022741112255	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	F1	0.362179487179487	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	MCC	0.272042861609763	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	PPV	0.423220973782772	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	NPV	0.884578997161779	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	Sensitivity	0.316526610644258	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	Specificity	0.923913043478261	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	Balanced accuracy	0.620219827061259	Holdout
EpitopeTransfer(ESM-1b)	O. volvulus	Accuracy	0.832843343133137	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	AUC	0.72053872053872	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	F1	0.835051546391753	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	MCC	0.147382635309143	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	PPV	0.716814159292035	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	NPV	1	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	Sensitivity	1	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	Specificity	0.0303030303030303	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	Balanced accuracy	0.515151515151515	Holdout
EpitopeTransfer(ESM-1b)	P. aeruginosa	Accuracy	0.719298245614035	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	AUC	0.81044911944787	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	F1	0.826028190770419	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	MCC	0.505325441216076	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	PPV	0.792515746572805	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	NPV	0.731918238993711	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	Sensitivity	0.8625	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	Specificity	0.624413145539906	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	Balanced accuracy	0.743456572769953	Holdout
EpitopeTransfer(ESM-1b)	P. falciparum	Accuracy	0.773105011332158	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	AUC	0.556675464273718	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	F1	0.437463641652123	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	MCC	0.0562945514980207	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	PPV	0.29746835443038	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	NPV	0.764880952380952	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	Sensitivity	0.826373626373626	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	Specificity	0.224454148471616	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	Balanced accuracy	0.525413887422621	Holdout
EpitopeTransfer(ESM-1b)	S. mansoni	Accuracy	0.395625	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	AUC	0.705363942987705	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	F1	0.81057268722467	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	MCC	0.218267589534157	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	PPV	0.73015873015873	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	NPV	0.560975609756098	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	Sensitivity	0.910891089108911	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	Specificity	0.252747252747253	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	Balanced accuracy	0.581819170928082	Holdout
EpitopeTransfer(ESM-1b)	T. gondii	Accuracy	0.706484641638225	Holdout
EpitopeTransfer(ESM2)	B. pertussis	AUC	0.532599020916778	Holdout
EpitopeTransfer(ESM2)	B. pertussis	F1	0.61878453038674	Holdout
EpitopeTransfer(ESM2)	B. pertussis	MCC	0.0852995172896038	Holdout
EpitopeTransfer(ESM2)	B. pertussis	PPV	0.756756756756757	Holdout
EpitopeTransfer(ESM2)	B. pertussis	NPV	0.32	Holdout
EpitopeTransfer(ESM2)	B. pertussis	Sensitivity	0.523364485981308	Holdout
EpitopeTransfer(ESM2)	B. pertussis	Specificity	0.571428571428571	Holdout
EpitopeTransfer(ESM2)	B. pertussis	Balanced accuracy	0.54739652870494	Holdout
EpitopeTransfer(ESM2)	B. pertussis	Accuracy	0.536912751677852	Holdout
EpitopeTransfer(ESM2)	C. difficile	AUC	0.655840176492217	Holdout
EpitopeTransfer(ESM2)	C. difficile	F1	0.236024844720497	Holdout
EpitopeTransfer(ESM2)	C. difficile	MCC	0.13687799822649	Holdout
EpitopeTransfer(ESM2)	C. difficile	PPV	0.158333333333333	Holdout
EpitopeTransfer(ESM2)	C. difficile	NPV	0.931034482758621	Holdout
EpitopeTransfer(ESM2)	C. difficile	Sensitivity	0.463414634146341	Holdout
EpitopeTransfer(ESM2)	C. difficile	Specificity	0.746231155778894	Holdout
EpitopeTransfer(ESM2)	C. difficile	Balanced accuracy	0.604822894962618	Holdout
EpitopeTransfer(ESM2)	C. difficile	Accuracy	0.719817767653758	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	AUC	0.632407407407407	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	F1	0.67175572519084	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	MCC	0.282402513712573	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	PPV	0.571428571428571	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	NPV	0.72972972972973	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	Sensitivity	0.814814814814815	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	Specificity	0.45	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	Balanced accuracy	0.632407407407407	Holdout
EpitopeTransfer(ESM2)	Corynebacterium	Accuracy	0.62280701754386	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	AUC	0.834321661646586	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	F1	0.773662551440329	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	MCC	0.567905142408348	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	PPV	0.817391304347826	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	NPV	0.752727272727273	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	Sensitivity	0.734375	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	Specificity	0.831325301204819	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	Balanced accuracy	0.78285015060241	Holdout
EpitopeTransfer(ESM2)	C. trachomatis	Accuracy	0.782178217821782	Holdout
EpitopeTransfer(ESM2)	E. coli	AUC	0.909198113207547	Holdout
EpitopeTransfer(ESM2)	E. coli	F1	0.886363636363636	Holdout
EpitopeTransfer(ESM2)	E. coli	MCC	0.44184302632868	Holdout
EpitopeTransfer(ESM2)	E. coli	PPV	0.795918367346939	Holdout
EpitopeTransfer(ESM2)	E. coli	NPV	1	Holdout
EpitopeTransfer(ESM2)	E. coli	Sensitivity	1	Holdout
EpitopeTransfer(ESM2)	E. coli	Specificity	0.245283018867925	Holdout
EpitopeTransfer(ESM2)	E. coli	Balanced accuracy	0.622641509433962	Holdout
EpitopeTransfer(ESM2)	E. coli	Accuracy	0.808612440191388	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	AUC	0.82065274532215	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	F1	0.708719851576994	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	MCC	0.426525043973779	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	PPV	0.673721340388007	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	NPV	0.752399232245681	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	Sensitivity	0.747553816046967	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	Specificity	0.679376083188908	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	Balanced accuracy	0.713464949617937	Holdout
EpitopeTransfer(ESM2)	Enterobacteriaceae	Accuracy	0.711397058823529	Holdout
EpitopeTransfer(ESM2)	Filoviridae	AUC	0.958546605603448	Holdout
EpitopeTransfer(ESM2)	Filoviridae	F1	0.650793650793651	Holdout
EpitopeTransfer(ESM2)	Filoviridae	MCC	0.610138025398834	Holdout
EpitopeTransfer(ESM2)	Filoviridae	PPV	0.602941176470588	Holdout
EpitopeTransfer(ESM2)	Filoviridae	NPV	0.966135458167331	Holdout
EpitopeTransfer(ESM2)	Filoviridae	Sensitivity	0.706896551724138	Holdout
EpitopeTransfer(ESM2)	Filoviridae	Specificity	0.947265625	Holdout
EpitopeTransfer(ESM2)	Filoviridae	Balanced accuracy	0.827081088362069	Holdout
EpitopeTransfer(ESM2)	Filoviridae	Accuracy	0.92280701754386	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	AUC	0.611965232632577	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	F1	0.341296928327645	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	MCC	0.274616510200839	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	PPV	0.828729281767956	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	NPV	0.595273264401773	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	Sensitivity	0.214899713467049	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	Specificity	0.962962962962963	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	Balanced accuracy	0.588931338215006	Holdout
EpitopeTransfer(ESM2)	Human Gammaherpesvirus 4	Accuracy	0.622801302931596	Holdout
EpitopeTransfer(ESM2)	Influenza A	AUC	0.653588458703097	Holdout
EpitopeTransfer(ESM2)	Influenza A	F1	0.782449725776965	Holdout
EpitopeTransfer(ESM2)	Influenza A	MCC	0.217714632883973	Holdout
EpitopeTransfer(ESM2)	Influenza A	PPV	0.812144212523719	Holdout
EpitopeTransfer(ESM2)	Influenza A	NPV	0.393013100436681	Holdout
EpitopeTransfer(ESM2)	Influenza A	Sensitivity	0.754850088183421	Holdout
EpitopeTransfer(ESM2)	Influenza A	Specificity	0.476190476190476	Holdout
EpitopeTransfer(ESM2)	Influenza A	Balanced accuracy	0.615520282186949	Holdout
EpitopeTransfer(ESM2)	Influenza A	Accuracy	0.685185185185185	Holdout
EpitopeTransfer(ESM2)	Lentivirus	AUC	0.665891540891541	Holdout
EpitopeTransfer(ESM2)	Lentivirus	F1	0.821114369501466	Holdout
EpitopeTransfer(ESM2)	Lentivirus	MCC	0.349966268825679	Holdout
EpitopeTransfer(ESM2)	Lentivirus	PPV	0.725388601036269	Holdout
EpitopeTransfer(ESM2)	Lentivirus	NPV	0.75	Holdout
EpitopeTransfer(ESM2)	Lentivirus	Sensitivity	0.945945945945946	Holdout
EpitopeTransfer(ESM2)	Lentivirus	Specificity	0.311688311688312	Holdout
EpitopeTransfer(ESM2)	Lentivirus	Balanced accuracy	0.628817128817129	Holdout
EpitopeTransfer(ESM2)	Lentivirus	Accuracy	0.728888888888889	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	AUC	0.595266544117647	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	F1	0.637964774951076	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	MCC	0.0677638142781298	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	PPV	0.478005865102639	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	NPV	0.666666666666667	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	Sensitivity	0.958823529411765	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	Specificity	0.0729166666666667	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	Balanced accuracy	0.515870098039216	Holdout
EpitopeTransfer(ESM2)	Measles morbilivirus	Accuracy	0.488950276243094	Holdout
EpitopeTransfer(ESM2)	Mononegavirales	AUC	0.786712289706302	Holdout
EpitopeTransfer(ESM2)	Mononegavirales	F1	0.63752276867031	Holdout
EpitopeTransfer(ESM2)	Mononegavirales	MCC	0.42753861703481	Holdout
